,keyword,Searchvolume,cpc,cmp
0,furniture,165000,0.075376,1.0
1,furniture shops near me,60500,0.172848,0.9537107677576148
2,furniture in online,49500,0.143629,0.9999670233639466
3,near me furniture store,49500,0.191114,0.9233010190528734
4,stores furniture,40500,0.144836,0.2890918359388057
5,wooden furniture,22200,0.055181,0.9999622085333132
6,home furnitures,22200,0.172623,0.9992259623553399
7,low price sofa set,12100,0.051526,0.9999397848311299
8,furnitures bed,12100,0.047065,0.9999302880844907
9,wood furnitures,9900,0.052186,0.9999685705904537
10,furnitures shop,9900,0.116147,0.847999493542669
11,furniture online buy,8100,0.218953,1.0
12,furniture online store,8100,0.148095,1.0
13,furniture table,8100,0.040983,0.9999016135379771
14,sofa in online,8100,0.154074,1.0
15,sofa furnitures,6600,0.055151,0.9999676720654318
16,furnitures near me,5400,0.176524,0.917012617012617
17,chair shops near me,5400,0.147947,0.9567476280389834
18,furnitures online shopping,4400,0.129078,1.0
19,furniture sofa sets,4400,0.04456,0.9994994994994995
20,wooden furnitures online,3600,0.097465,1.0
21,home farnichar,2900,0.024245,0.9985350838154576
22,furniture showrooms near me,2900,0.311494,0.8703154715292538
23,big bazaar furniture online,2900,0.079242,1.0
24,nearby furniture shop,2900,0.206105,0.7268854471280551
25,furniture for house,2400,0.047872,1.0
26,furniture for rent in hyderabad,2400,0.780104,1.0
27,cheap furnitures online,2400,0.096686,1.0
28,furniture showrooms,2400,0.118622,0.7168574000257169
29,furniture diwan,2400,0.031499,1.0
30,best furniture online,2400,0.18463,1.0
31,best wooden furniture,2400,0.099808,0.9605520369067168
32,furniture set,1900,0.034001,1.0
33,home furnitures online,1900,0.182489,1.0
34,best furnitures,1900,0.102648,1.0
35,lowest price sofa,1900,0.045213,0.9995207744285235
36,cheap sofa sets online,1900,0.090642,1.0
37,sofa shop near me,1900,0.222679,0.9920425403529944
38,furniture shops in bangalore,1600,0.316723,1.0
39,furniture shop hyderabad,1600,0.22819,0.9895363600542885
40,sofa farnichar,1600,0.030735,1.0
41,furniture items,1600,0.040499,1.0
42,sale in furniture,1600,0.101741,1.0
43,furniture price,1600,0.046107,0.9997619047619049
44,furniture buy,1300,0.192512,1.0
45,furniture store in hyderabad,1300,0.302809,0.9984497325788698
46,best furniture shops near me,1300,0.232058,0.9996902266508337
47,buy sofa sets online,1300,0.129033,1.0
48,furniture bangalore online,1300,0.320562,1.0
49,furniture discount online,1300,0.085421,1.0
50,exchange offers on furniture,1300,0.118833,1.0
51,furniture online shop,1300,0.15517,1.0
52,furnitures in bangalore,1300,0.27114,1.0
53,online sofa set wooden,1300,0.143253,1.0
54,new furnitures,1300,0.057682,0.9986340993090149
55,sofa set near me,1000,0.160338,0.9722966109520731
56,furnichers,1000,0.04683,1.0
57,nearby furniture store,1000,0.270055,0.8417605848309474
58,online furniture site,1000,0.139935,1.0
59,sofa exchange offers,1000,0.131013,1.0
60,furniture exchange,1000,0.082316,1.0
61,sofa rates,1000,0.034648,1.0
62,furniture for sale online,1000,0.127638,1.0
63,home chairs online,1000,0.077726,1.0
64,furnitures in hyderabad,1000,0.22168,1.0
65,cheapest furniture,1000,0.07735,1.0
66,sofas for home,1000,0.062068,1.0
67,sofa sets hyderabad,880,0.183142,1.0
68,furniture site,880,0.138811,1.0
69,diwan cot online,880,0.06399,0.9983136593591906
70,sofa sets online shopping,880,0.098913,0.9998417971839899
71,best furniture shop in hyderabad,880,0.274312,1.0
72,big bazaar furniture,880,0.076093,0.9966740576496674
73,wood furniture shop near me,880,0.142662,0.9643808509018951
74,office furniture shop near me,880,0.219886,0.9526809148856393
75,readymade furniture,880,0.057564,1.0
76,farnichar shop,880,0.110837,0.9791636934494077
77,online furniture chennai,880,0.252396,1.0
78,farnichar set,720,0.021868,1.0
79,best furniture shops in bangalore,720,0.292685,1.0
80,sofa online shopping,720,0.113139,1.0
81,furniture online pune,720,0.227048,1.0
82,furniture online mumbai,720,0.195671,1.0
83,nampally furniture shops,720,0.124935,0.9531030967248632
84,old furniture online,720,0.05275,1.0
85,best furniture online store,720,0.214988,1.0
86,nearest furniture shop,720,0.166734,0.701321150759353
87,all furnitures,720,0.037048,1.0
88,best furniture store in bangalore,720,0.344958,0.9995817999330879
89,best furniture store,720,0.148524,1.0
90,diwan set furniture,590,0.037739,1.0
91,sofa set price in hyderabad,590,0.102095,0.9969102144674663
92,furniture online hyderabad,590,0.19141,1.0
93,sofa chair price,590,0.029444,0.999314833847208
94,new model furniture,590,0.038619,0.9926224010731054
95,bed furniture online,590,0.097306,0.9996760609005507
96,emi furniture,590,0.139272,1.0
97,furniture offer,590,0.112423,1.0
98,furniture kerala online,590,0.139886,1.0
99,diwan price,590,0.020544,1.0
100,exchange sofa,590,0.136782,1.0
101,furniture in low price,590,0.094966,1.0
102,table shops near me,590,0.098446,0.9945787545787547
103,house farnichar,480,0.017725,0.9963297571993224
104,furniture house near me,480,0.101105,0.7626078619367209
105,chair store near me,480,0.190503,0.9653790087463557
106,farnichar table,480,0.018308,1.0
107,marriage furniture set,480,0.039779,0.95299431247909
108,shopping furniture,480,0.079247,1.0
109,shop furnitures,480,0.027847,0.9722673160173161
110,cheapest chair online,480,0.078548,1.0
111,second hand furniture hyderabad,480,0.071854,1.0
112,best furniture store in hyderabad,480,0.242837,1.0
113,tirumala furnitures,480,0.115781,0.6541636755204595
114,diwan set furniture online,480,0.04045,1.0
115,sofa set shops near me,480,0.184187,0.9998154300479882
116,sofa set online bangalore,480,0.272358,1.0
117,furniture ka,480,0.019374,0.8693083072645116
